season,week,team,w_l_t,proj_w_l,playoff_pct,win_div_pct,make_div_pct,make_conf_pct,make_sb_pct,win_sb_pct
2021,1,Minnesota Vikings,0-1-0,7.7-9.2,39.5,35,20.9,8.2,3.2,1.4
2021,1,Philadelphia Eagles,0-1-0,7.5-9.4,29.4,23.5,13.7,5.1,1.7,0.7
2021,1,Tennessee Titans,0-1-0,7.3-9.6,34,30.3,16.4,5.5,1.9,0.7
2021,1,Chicago Bears,0-1-0,6.8-10.1,21.7,18.8,9.5,3.1,1,0.3
2021,1,Atlanta Falcons,1-0-0,6.8-10.2,10,2,3,0.8,0.2,0.1
2021,1,Washington,0-1-0,6.6-10.4,16.4,12.6,7.2,2.4,0.9,0.3
2021,1,Houston Texans,1-0-0,6.4-10.6,16.4,14.5,5.8,1.2,0.2,0.1
2021,1,New York Giants,0-1-0,6.1-10.8,11,8.4,4.1,1.1,0.3,0.1
2021,1,New York Jets,0-1-0,5.9-11.0,5.8,1.8,1.6,0.4,0.1,0
2021,1,Detroit Lions,0-1-0,5.7-11.2,9.3,8.1,3.3,0.8,0.2,0
2021,1,Jacksonville Jaguars,0-1-0,5.7-11.3,9,7.8,3.3,0.8,0.2,0.1
